Model,F0.5,ROC-AUC,PR-AUC
SVM,0.6359649122807017,0.8203333333333334,0.6789336886359137
KNN,0.625,0.8131666666666666,0.6064703336965174
LR Baseline,0.6048387096774194,0.8083333333333333,0.6811431844384825
XGBoost,0.6041666666666666,0.8093333333333332,0.6717694195762175
Random Forest,0.5942622950819673,0.8133333333333334,0.6737630751202611
